id_x,episode_id,number,raw_text,timestamp_in_ms,speaking_line,character_id,location_id,raw_character_text,raw_location_text,spoken_words,normalized_text,word_count,id_y,season,sentiment
27112,92,14,Nelson Muntz: (OVER PHONE) Stamp collection. Haw haw!,164000,true,101,5.0,Nelson Muntz,Simpson Home,Stamp collection. Haw haw!,stamp collection haw haw,4,92,5,
27113,92,15,"Lisa Simpson: (MOANS) Bart's pain is funny, but mine isn't. That saxophone was my one creative outlet. It was the only way I could truly express myself.",168000,true,9,5.0,Lisa Simpson,Simpson Home,"Bart's pain is funny, but mine isn't. That saxophone was my one creative outlet. It was the only way I could truly express myself.",barts pain is funny but mine isnt that saxophone was my one creative outlet it was the only way i could truly express myself,24,92,5,
27114,92,16,"Homer Simpson: Shhh, quiet Lisa.",175000,true,2,5.0,Homer Simpson,Simpson Home,"Shhh, quiet Lisa.",shhh quiet lisa,3,92,5,
27115,92,17,"Bart Simpson: Hey, the burglar left his calling card.",179000,true,8,5.0,Bart Simpson,Simpson Home,"Hey, the burglar left his calling card.",hey the burglar left his calling card,7,92,5,
27116,92,18,"Marge Simpson: (READING) ""You have just been robbed by The Springfield Cat Burglar""... (MAKES A FACE) Cute.",181000,true,1,5.0,Marge Simpson,Simpson Home,"""You have just been robbed by The Springfield Cat Burglar""... Cute.",you have just been robbed by the springfield cat burglar cute,11,92,5,
27117,92,19,"Ned Flanders: Hidilly ho, neighboreenos.",181000,true,11,5.0,Ned Flanders,Simpson Home,"Hidilly ho, neighboreenos.",hidilly ho neighboreenos,3,92,5,
27119,92,21,Ned Flanders: You folks got robbed too? The burglar took my Shroud of Turin beach towels.,191000,true,11,5.0,Ned Flanders,Simpson Home,You folks got robbed too? The burglar took my Shroud of Turin beach towels.,you folks got robbed too the burglar took my shroud of turin beach towels,14,92,5,
27120,92,22,Bart Simpson: Wow. It's a crime wave.,195000,true,8,5.0,Bart Simpson,Simpson Home,Wow. It's a crime wave.,wow its a crime wave,5,92,5,
27121,92,23,(Skinner's Living Room: Int. Principal Skinner's living room - day),197000,false,,966.0,,Skinner's Living Room,,,,92,5,
27122,92,24,Seymour Skinner: Good Lord! My Stormin' Norman Commemorative Plates stolen... again.,197000,true,3,966.0,Seymour Skinner,Skinner's Living Room,Good Lord! My Stormin' Norman Commemorative Plates stolen... again.,good lord my stormin norman commemorative plates stolen again,9,92,5,
27123,92,25,(Barney's Apartment: Int. Barney's apartment),204000,false,,165.0,,Barney's Apartment,,,,92,5,
27124,92,26,Barney Gumble: Hey! I thought I had more stuff than this.,204000,true,18,165.0,Barney Gumble,Barney's Apartment,Hey! I thought I had more stuff than this.,hey i thought i had more stuff than this,9,92,5,
27125,92,27,(Simpson Home: Int. Simpson house - living room),207000,false,,5.0,,Simpson Home,,,,92,5,
27126,92,28,"Lisa Simpson: We are insured, aren't we, Mom?",207000,true,9,5.0,Lisa Simpson,Simpson Home,"We are insured, aren't we, Mom?",we are insured arent we mom,6,92,5,
27127,92,29,"Marge Simpson: Homer, tell your child what you bought when I sent you to town to get some insurance.",209000,true,1,5.0,Marge Simpson,Simpson Home,"Homer, tell your child what you bought when I sent you to town to get some insurance.",homer tell your child what you bought when i sent you to town to get some insurance,17,92,5,
27128,92,30,"Homer Simpson: (BITTER) Curse you, Magic Beans.",213000,true,2,5.0,Homer Simpson,Simpson Home,"Curse you, Magic Beans.",curse you magic beans,4,92,5,
27129,92,31,"Marge Simpson: (TIRED OF IT) Oh, stop blaming the beans.",213000,true,1,5.0,Marge Simpson,Simpson Home,"Oh, stop blaming the beans.",oh stop blaming the beans,5,92,5,
27130,92,32,"Homer Simpson: (INTO PHONE) Hello, police? Are you sitting down? Good. I wish to report a robbery!",217000,true,2,5.0,Homer Simpson,Simpson Home,"Hello, police? Are you sitting down? Good. I wish to report a robbery!",hello police are you sitting down good i wish to report a robbery,13,92,5,
27131,92,33,(Springfield Police Station: Int. police station),221000,false,,192.0,,Springfield Police Station,,,,92,5,
27132,92,34,"Chief Wiggum: (INTO PHONE) A robbery, right. Thanks for the report.",221000,true,71,192.0,Chief Wiggum,Springfield Police Station,"A robbery, right. Thanks for the report.",a robbery right thanks for the report,7,92,5,
27133,92,35,"Chief Wiggum: Another one, Lou. 723 Evergreen Terrace.",224000,true,71,192.0,Chief Wiggum,Springfield Police Station,"Another one, Lou. 723 Evergreen Terrace.",another one lou 723 evergreen terrace,6,92,5,
27134,92,36,"Chief Wiggum: Well, there doesn't seem to be any pattern, yet. But if I take this one and move it here, and move these over here... Hello... It almost looks like an arrow.",228000,true,71,192.0,Chief Wiggum,Springfield Police Station,"Well, there doesn't seem to be any pattern, yet. But if I take this one and move it here, and move these over here... Hello... It almost looks like an arrow.",well there doesnt seem to be any pattern yet but if i take this one and move it here and move these over here hello it almost looks like an arrow,31,92,5,
27135,92,37,"Lou: Hey look, Chief. It's pointing right at this police station.",241000,true,91,192.0,Lou,Springfield Police Station,"Hey look, Chief. It's pointing right at this police station.",hey look chief its pointing right at this police station,10,92,5,
27136,92,38,Chief Wiggum: (PANICKED) Let's get outta here!,244000,true,71,192.0,Chief Wiggum,Springfield Police Station,Let's get outta here!,lets get outta here,4,92,5,
27137,92,39,"Kent Brockman: When cat burglaries start, can mass murders be far behind? This reporter isn't saying that the burglar is an inhuman monster like the Wolfman, but he very well could be.",244000,true,211,192.0,Kent Brockman,Springfield Police Station,"When cat burglaries start, can mass murders be far behind? This reporter isn't saying that the burglar is an inhuman monster like the Wolfman, but he very well could be.",when cat burglaries start can mass murders be far behind this reporter isnt saying that the burglar is an inhuman monster like the wolfman but he very well could be,30,92,5,
27138,92,40,"Kent Brockman: So, professor, would you say it's time for everyone to panic?",260000,true,211,192.0,Kent Brockman,Springfield Police Station,"So, professor, would you say it's time for everyone to panic?",so professor would you say its time for everyone to panic,11,92,5,
27139,92,41,"Professor: Yes I would, Kent.",262000,true,1183,192.0,Professor,Springfield Police Station,"Yes I would, Kent.",yes i would kent,4,92,5,
27140,92,42,"Chief Wiggum: Ladies and gentlemen, ladies and gentlemen please, we have a major break in the case. We recovered the burglar's handkerchief from one of the crime scenes. Now one sniff of this baby and our tracking dog will be hot on his trail. (THEN ASIDE) Gosh, look at me, I'm sweating like a pig here...",264000,true,71,192.0,Chief Wiggum,Springfield Police Station,"Ladies and gentlemen, ladies and gentlemen please, we have a major break in the case. We recovered the burglar's handkerchief from one of the crime scenes. Now one sniff of this baby and our tracking dog will be hot on his trail. Gosh, look at me, I'm sweating like a pig here...",ladies and gentlemen ladies and gentlemen please we have a major break in the case we recovered the burglars handkerchief from one of the crime scenes now one sniff of this baby and our tracking dog will be hot on his trail gosh look at me im sweating like a pig here,52,92,5,
27141,92,43,Chief Wiggum: Ahhh. Aw man... that's better.,282000,true,71,192.0,Chief Wiggum,Springfield Police Station,Ahhh. Aw man... that's better.,ahhh aw man thats better,5,92,5,
27142,92,44,"Chief Wiggum: Alright, get the scent, boy. Come on. Get the scent. Now kill! Go on.",286000,true,71,192.0,Chief Wiggum,Springfield Police Station,"Alright, get the scent, boy. Come on. Get the scent. Now kill! Go on.",alright get the scent boy come on get the scent now kill go on,14,92,5,
27143,92,45,"Chief Wiggum: Ow, my jugular! (BEAT, THEN MORE STRUCLING) Any questions?",288000,true,71,192.0,Chief Wiggum,Springfield Police Station,"Ow, my jugular! Any questions?",ow my jugular any questions,5,92,5,
27237,92,139,Homer Simpson: (BEAT) Let me check my reason list.,681000,true,2,529.0,Homer Simpson,Suburban Home,Let me check my reason list.,let me check my reason list,6,92,5,
27238,92,140,Homer Simpson: Yep. It's on here.,681000,true,2,529.0,Homer Simpson,Suburban Home,Yep. It's on here.,yep its on here,4,92,5,
27144,92,46,"Professor Jonathan Frink: Well, as you can see, when the burglar trips the alarm, the house raises from its foundations and runs down the street and around a corner to safety.",298000,true,442,192.0,Professor Jonathan Frink,Springfield Police Station,"Well, as you can see, when the burglar trips the alarm, the house raises from its foundations and runs down the street and around a corner to safety.",well as you can see when the burglar trips the alarm the house raises from its foundations and runs down the street and around a corner to safety,28,92,5,
27145,92,47,"Professor Jonathan Frink: Well, the the real humans won't uh.. won't burn quite so fast there. (NERVOUS LAUGH)",309000,true,442,192.0,Professor Jonathan Frink,Springfield Police Station,"Well, the the real humans won't uh.. won't burn quite so fast there.",well the the real humans wont uh wont burn quite so fast there,13,92,5,
27146,92,48,(Suburban Springfield Street: Ext. suburban Springfield street),320000,false,,967.0,,Suburban Springfield Street,,,,92,5,
27147,92,49,Bart Simpson: (IMPRESSED) Cool! High-tech security system.,320000,true,8,967.0,Bart Simpson,Suburban Springfield Street,Cool! High-tech security system.,cool high-tech security system,4,92,5,
27148,92,50,(Springfield Street: Ext. springfield street - later),331000,false,,270.0,,Springfield Street,,,,92,5,
27149,92,51,"Otto Mann: Alright, free laserium. (IN AWE) All the colors of the bow, man.",331000,true,52,270.0,Otto Mann,Springfield Street,"Alright, free laserium. All the colors of the bow, man.",alright free laserium all the colors of the bow man,10,92,5,
27150,92,52,"Jasper Beardly: (YELLING IN PAIN, THEN) My cataracts are gone! I can see again! All the beauty of nat...",340000,true,273,270.0,Jasper Beardly,Springfield Street,My cataracts are gone! I can see again! All the beauty of nat...,my cataracts are gone i can see again all the beauty of nat,13,92,5,
27151,92,53,"Jasper Beardly: (YELLING IN PAIN) I'm blind! (THEN) Oh well, easy come easy go.",349000,true,273,270.0,Jasper Beardly,Springfield Street,"I'm blind! Oh well, easy come easy go.",im blind oh well easy come easy go,8,92,5,
27152,92,54,(Springfield Retirement Castle: Int. old folks home - Grampa's room),351000,false,,79.0,,Springfield Retirement Castle,,,,92,5,
27153,92,55,"Grampa Simpson: (SCREAMS) It's the cat burglar! Please, don't kill me!",351000,true,31,79.0,Grampa Simpson,Springfield Retirement Castle,"It's the cat burglar! Please, don't kill me!",its the cat burglar please dont kill me,8,92,5,
27154,92,56,"Molloy: Abe, can I use your ointment?",360000,true,1315,79.0,Molloy,Springfield Retirement Castle,"Abe, can I use your ointment?",abe can i use your ointment,6,92,5,
27155,92,57,"Grampa Simpson: (ANNOYED) Oh, it's you, Molloy. (GRUDGING) Alright. But this time clean off the applicator.",360000,true,31,79.0,Grampa Simpson,Springfield Retirement Castle,"Oh, it's you, Molloy. Alright. But this time clean off the applicator.",oh its you molloy alright but this time clean off the applicator,12,92,5,
27156,92,58,(Kwik-E-Mart: Ext. Kwik-e-mart),371000,false,,136.0,,Kwik-E-Mart,,,,92,5,
27157,92,59,Apu Nahasapeemapetilon: (PLEASANTLY) Thank you for coming. I'll see you in Hell.,371000,true,208,136.0,Apu Nahasapeemapetilon,Kwik-E-Mart,Thank you for coming. I'll see you in Hell.,thank you for coming ill see you in hell,9,92,5,
27158,92,60,(Simpson Home: Int. Simpson house),376000,false,,5.0,,Simpson Home,,,,92,5,
27159,92,61,"Homer Simpson: Alright, these are our new family security rules: Be home before dark, and make sure you're not followed, lock all doors and windows.",376000,true,2,5.0,Homer Simpson,Simpson Home,"Alright, these are our new family security rules: Be home before dark, and make sure you're not followed, lock all doors and windows.",alright these are our new family security rules be home before dark and make sure youre not followed lock all doors and windows,23,92,5,
27160,92,62,Marge Simpson: And don't take candy from strangers.,384000,true,1,5.0,Marge Simpson,Simpson Home,And don't take candy from strangers.,and dont take candy from strangers,6,92,5,
27161,92,63,"Homer Simpson: Marge, they're only human.",384000,true,2,5.0,Homer Simpson,Simpson Home,"Marge, they're only human.",marge theyre only human,4,92,5,
27162,92,64,Lisa Simpson: What's the point of all these precautions? I've already lost the only thing that matters to me.,388000,true,9,5.0,Lisa Simpson,Simpson Home,What's the point of all these precautions? I've already lost the only thing that matters to me.,whats the point of all these precautions ive already lost the only thing that matters to me,17,92,5,
27163,92,65,"Homer Simpson: Oh Lisa, stop pining for your saxophone. I got you another instrument.",393000,true,2,5.0,Homer Simpson,Simpson Home,"Oh Lisa, stop pining for your saxophone. I got you another instrument.",oh lisa stop pining for your saxophone i got you another instrument,12,92,5,
27164,92,66,"Lisa Simpson: What, this jug?",397000,true,9,5.0,Lisa Simpson,Simpson Home,"What, this jug?",what this jug,3,92,5,
27165,92,67,"Homer Simpson: Lisa, never, ever stop in the middle of a hoe-down.",406000,true,2,5.0,Homer Simpson,Simpson Home,"Lisa, never, ever stop in the middle of a hoe-down.",lisa never ever stop in the middle of a hoe-down,10,92,5,
27166,92,68,Lisa Simpson: (CHOKING BACK TEARS),406000,false,9,5.0,Lisa Simpson,Simpson Home,,,,92,5,
27167,92,69,"Homer Simpson: (REALIZING) Aw, honey. I didn't realize how much that horn meant to you. (MAKING A VOW) Don't worry. Daddy's gonna get it back. I don't know how, but I'll figure out something.",410000,true,2,5.0,Homer Simpson,Simpson Home,"Aw, honey. I didn't realize how much that horn meant to you. Don't worry. Daddy's gonna get it back. I don't know how, but I'll figure out something.",aw honey i didnt realize how much that horn meant to you dont worry daddys gonna get it back i dont know how but ill figure out something,28,92,5,
27168,92,70,Lisa Simpson: Thank you.,424000,true,9,5.0,Lisa Simpson,Simpson Home,Thank you.,thank you,2,92,5,
27169,92,71,"Homer Simpson: You know Lisa, music helps daddy think.",426000,true,2,5.0,Homer Simpson,Simpson Home,"You know Lisa, music helps daddy think.",you know lisa music helps daddy think,7,92,5,
27170,92,72,(Flanders Home: ext. flanders house - establishing),429000,false,,188.0,,Flanders Home,,,,92,5,
27239,92,141,"Jimbo Jones: Hey, you're that drunken posse. Wow, can I join you?",685000,true,144,529.0,Jimbo Jones,Suburban Home,"Hey, you're that drunken posse. Wow, can I join you?",hey youre that drunken posse wow can i join you,10,92,5,
27240,92,142,Homer Simpson: I dunno. Can you swing a sack of door knobs?,691000,true,2,529.0,Homer Simpson,Suburban Home,I dunno. Can you swing a sack of door knobs?,i dunno can you swing a sack of door knobs,10,92,5,
27241,92,143,Jimbo Jones: Can I?!,693000,true,144,529.0,Jimbo Jones,Suburban Home,Can I?!,can i,2,92,5,
27171,92,73,"Ned Flanders: Welcome, neighbors... (CLEARS HIS THROAT) since the police can't seem to get off their dufferoonies to do something about this burglarino, I think it's time we start our own neighborhood watch... arooni!",429000,true,11,188.0,Ned Flanders,Flanders Home,"Welcome, neighbors... since the police can't seem to get off their dufferoonies to do something about this burglarino, I think it's time we start our own neighborhood watch... arooni!",welcome neighbors since the police cant seem to get off their dufferoonies to do something about this burglarino i think its time we start our own neighborhood watch arooni,29,92,5,
27172,92,74,Everyone: (CHEERS),429000,false,658,188.0,Everyone,Flanders Home,,,,92,5,
27173,92,75,"Ned Flanders: Now, who should lead the group?",450000,true,11,188.0,Ned Flanders,Flanders Home,"Now, who should lead the group?",now who should lead the group,6,92,5,
27174,92,76,Voice From The Back: You!,452000,true,1316,188.0,Voice From The Back,Flanders Home,You!,you,1,92,5,
27175,92,77,Everyone: Yeah! Flanders! Flanders! Flanders!,452000,true,658,188.0,Everyone,Flanders Home,Yeah! Flanders! Flanders! Flanders!,yeah flanders flanders flanders,4,92,5,
27176,92,78,"Ned Flanders: (FLATTERED) I don't really have very much experience, but I'll be---",457000,true,11,188.0,Ned Flanders,Flanders Home,"I don't really have very much experience, but I'll be---",i dont really have very much experience but ill be---,10,92,5,
27177,92,79,Moe Szyslak: Someone else!,459000,true,17,188.0,Moe Szyslak,Flanders Home,Someone else!,someone else,2,92,5,
27178,92,80,Crowd: Yeah! Someone else! Someone else! Someone else!,459000,true,75,188.0,Crowd,Flanders Home,Yeah! Someone else! Someone else! Someone else!,yeah someone else someone else someone else,7,92,5,
27179,92,81,Homer Simpson: I'm someone else!,465000,true,2,188.0,Homer Simpson,Flanders Home,I'm someone else!,im someone else,3,92,5,
27180,92,82,Lenny Leonard: He's right!,465000,true,165,188.0,Lenny Leonard,Flanders Home,He's right!,hes right,2,92,5,
27181,92,83,"Homer Simpson: (INTERRUPTING) We don't need a thinker, we need a doer. Someone who'll act without considering the consequences.",467000,true,2,188.0,Homer Simpson,Flanders Home,"We don't need a thinker, we need a doer. Someone who'll act without considering the consequences.",we dont need a thinker we need a doer someone wholl act without considering the consequences,16,92,5,
27182,92,84,Crowd: Homer! Homer! Homer!,472000,true,75,188.0,Crowd,Flanders Home,Homer! Homer! Homer!,homer homer homer,3,92,5,
27183,92,85,"Barney Gumble: I'm with you, Homer.",474000,true,18,188.0,Barney Gumble,Flanders Home,"I'm with you, Homer.",im with you homer,4,92,5,
27184,92,86,"Captain Horatio McCallister: I be with ya too, matey.",474000,true,944,188.0,Captain Horatio McCallister,Flanders Home,"I be with ya too, matey.",i be with ya too matey,6,92,5,
27185,92,87,"Seymour Skinner: I'm with you, Homer.",477000,true,3,188.0,Seymour Skinner,Flanders Home,"I'm with you, Homer.",im with you homer,4,92,5,
27186,92,88,"Moe Szyslak: You're the man, Homer.",477000,true,17,188.0,Moe Szyslak,Flanders Home,"You're the man, Homer.",youre the man homer,4,92,5,
27187,92,89,Apu Nahasapeemapetilon: You're so good.,479000,true,208,188.0,Apu Nahasapeemapetilon,Flanders Home,You're so good.,youre so good,3,92,5,
27188,92,90,"Otto Mann: You're the man, man.",479000,true,52,188.0,Otto Mann,Flanders Home,"You're the man, man.",youre the man man,4,92,5,
27189,92,91,Grampa Simpson: I'll join! I'm filled with piss and vinegar. At first I was just filled with vinegar...,482000,true,31,188.0,Grampa Simpson,Flanders Home,I'll join! I'm filled with piss and vinegar. At first I was just filled with vinegar...,ill join im filled with piss and vinegar at first i was just filled with vinegar,16,92,5,
27190,92,92,"Homer Simpson: (CONSIDERS HIM BRIEFLY) Sorry, Dad. You're too old.",487000,true,2,188.0,Homer Simpson,Flanders Home,"Sorry, Dad. You're too old.",sorry dad youre too old,5,92,5,
27191,92,93,"Grampa Simpson: (INDIGNANT) Too old! Why that just means I have experience. Who chased the Irish out of Springfield Village in ought four? Me, that's who!",489000,true,31,188.0,Grampa Simpson,Flanders Home,"Too old! Why that just means I have experience. Who chased the Irish out of Springfield Village in ought four? Me, that's who!",too old why that just means i have experience who chased the irish out of springfield village in ought four me thats who,23,92,5,
27192,92,94,IRISH PETE: And a fine job ye did too!,500000,true,1317,188.0,IRISH PETE,Flanders Home,And a fine job ye did too!,and a fine job ye did too,7,92,5,
27193,92,95,"Homer Simpson: (KINDLY) Aw, Dad, you've done a lot of great things, but you're a very old man now, and old people are useless. (TICKLING HIM) Aren't they? Aren't they? Huh? Yes they are. Yes they are...",502000,true,2,188.0,Homer Simpson,Flanders Home,"Aw, Dad, you've done a lot of great things, but you're a very old man now, and old people are useless. Aren't they? Aren't they? Huh? Yes they are. Yes they are...",aw dad youve done a lot of great things but youre a very old man now and old people are useless arent they arent they huh yes they are yes they are,32,92,5,
27194,92,96,"Grampa Simpson: (GIGGLES BRIEFLY, THEN GETS ANGRY) Stop it! It's a form of abuse!",511000,true,31,188.0,Grampa Simpson,Flanders Home,Stop it! It's a form of abuse!,stop it its a form of abuse,7,92,5,
27195,92,97,"Marge Simpson: I don't think the guns are a good idea, Homer.",525000,true,1,188.0,Marge Simpson,Flanders Home,"I don't think the guns are a good idea, Homer.",i dont think the guns are a good idea homer,10,92,5,
27196,92,98,"Homer Simpson: Marge, we're responsible adults and...",527000,true,2,188.0,Homer Simpson,Flanders Home,"Marge, we're responsible adults and...",marge were responsible adults and,5,92,5,
27197,92,99,Moe Szyslak: Oops.,529000,true,17,188.0,Moe Szyslak,Flanders Home,Oops.,oops,1,92,5,
27198,92,100,Homer Simpson: ... and if a group of responsible adults can't handle firearms in a responsible way...,531000,true,2,188.0,Homer Simpson,Flanders Home,... and if a group of responsible adults can't handle firearms in a responsible way...,and if a group of responsible adults cant handle firearms in a responsible way,14,92,5,
27199,92,101,Captain Horatio McCallister: Sorry.,531000,true,944,188.0,Captain Horatio McCallister,Flanders Home,Sorry.,sorry,1,92,5,
27200,92,102,Seymour Skinner: (CHUCKLING) Uh-oh!,537000,true,3,188.0,Seymour Skinner,Flanders Home,Uh-oh!,uh-oh,1,92,5,
27201,92,103,Moe Szyslak: (SHEEPISH) Me again.,538000,true,17,188.0,Moe Szyslak,Flanders Home,Me again.,me again,2,92,5,
27202,92,104,Bart Simpson: Sorry.,539000,true,8,188.0,Bart Simpson,Flanders Home,Sorry.,sorry,1,92,5,
27203,92,105,(Moe's Tavern: Int. Moe's),546000,false,,15.0,,Moe's Tavern,,,,92,5,
27204,92,106,"Homer Simpson: Okay, we've got the secret vigilante handshake. Now we need code names. I'll be ""Cueball."" Skinner can be ""Eightball"", Barney will be ""Twelveball,"" and Moe, you can be ""Cueball.""",546000,true,2,15.0,Homer Simpson,Moe's Tavern,"Okay, we've got the secret vigilante handshake. Now we need code names. I'll be ""Cueball."" Skinner can be ""Eightball"", Barney will be ""Twelveball,"" and Moe, you can be ""Cueball.""",okay weve got the secret vigilante handshake now we need code names ill be cueball skinner can be eightball barney will be twelveball and moe you can be cueball,29,92,5,
27205,92,107,Moe Szyslak: You're an idiot.,550000,true,17,15.0,Moe Szyslak,Moe's Tavern,You're an idiot.,youre an idiot,3,92,5,
27206,92,108,(Herman's Military Antiques: Int. Herman's military antiques),559000,false,,82.0,,Herman's Military Antiques,,,,92,5,
27207,92,109,"Herman Hermann: So, wedding, huh?",559000,true,108,82.0,Herman Hermann,Herman's Military Antiques,"So, wedding, huh?",so wedding huh,3,92,5,
27208,92,110,"Homer Simpson: No, we're forming a vigilante group.",562000,true,2,82.0,Homer Simpson,Herman's Military Antiques,"No, we're forming a vigilante group.",no were forming a vigilante group,6,92,5,
27209,92,111,Herman Hermann: (LOW) Come with me.,565000,true,108,82.0,Herman Hermann,Herman's Military Antiques,Come with me.,come with me,3,92,5,
27210,92,112,(Herman's Military Antiques: Ext. Herman's - back yard),567000,false,,82.0,,Herman's Military Antiques,,,,92,5,
27211,92,113,"Herman Hermann: See, it's a miniature version of the A-bomb. The government built it in the fifties to drop on beatniks.",567000,true,108,82.0,Herman Hermann,Herman's Military Antiques,"See, it's a miniature version of the A-bomb. The government built it in the fifties to drop on beatniks.",see its a miniature version of the a-bomb the government built it in the fifties to drop on beatniks,19,92,5,
27212,92,114,Beatnik Poet: Radiant cool crazy nightmare. Zen New Jersey nowhere.,574000,true,1318,82.0,Beatnik Poet,Herman's Military Antiques,Radiant cool crazy nightmare. Zen New Jersey nowhere.,radiant cool crazy nightmare zen new jersey nowhere,8,92,5,
27213,92,115,Homer Simpson: Put this in your pipe and smoke it.,577000,true,2,82.0,Homer Simpson,Herman's Military Antiques,Put this in your pipe and smoke it.,put this in your pipe and smoke it,8,92,5,
27214,92,116,Beatnik Poet: How now brown bureaucrats.,586000,true,1318,82.0,Beatnik Poet,Herman's Military Antiques,How now brown bureaucrats.,how now brown bureaucrats,4,92,5,
27215,92,117,Homer Simpson: (TEXAN STYLE) Woo Hoo! Woo hoo hoo hoo!,586000,true,2,82.0,Homer Simpson,Herman's Military Antiques,Woo Hoo! Woo hoo hoo hoo!,woo hoo woo hoo hoo hoo,6,92,5,
27216,92,118,"Homer Simpson: Woo hoo, hoo! Take that Maynard G. Krebs!",602000,true,2,82.0,Homer Simpson,Herman's Military Antiques,"Woo hoo, hoo! Take that Maynard G. Krebs!",woo hoo hoo take that maynard g krebs,8,92,5,
27217,92,119,"Herman Hermann: (POINTEDLY) Hey, see this sign?",607000,true,108,82.0,Herman Hermann,Herman's Military Antiques,"Hey, see this sign?",hey see this sign,4,92,5,
27218,92,120,Homer Simpson: (SMALL VOICE) Sorry.,607000,true,2,82.0,Homer Simpson,Herman's Military Antiques,Sorry.,sorry,1,92,5,
27219,92,121,"Homer Simpson: (DRAMATICALLY) Okay, men, it's time to clean up this town.",614000,true,2,82.0,Homer Simpson,Herman's Military Antiques,"Okay, men, it's time to clean up this town.",okay men its time to clean up this town,9,92,5,
27220,92,122,Seymour Skinner: Meaning what exactly?,618000,true,3,82.0,Seymour Skinner,Herman's Military Antiques,Meaning what exactly?,meaning what exactly,3,92,5,
27221,92,123,"Homer Simpson: You know, push people around, make ourselves feel big.",620000,true,2,82.0,Homer Simpson,Herman's Military Antiques,"You know, push people around, make ourselves feel big.",you know push people around make ourselves feel big,9,92,5,
27222,92,124,"Homer Simpson: Bart, give me that megaphone of yours.",623000,true,2,82.0,Homer Simpson,Herman's Military Antiques,"Bart, give me that megaphone of yours.",bart give me that megaphone of yours,7,92,5,
27223,92,125,"Bart Simpson: It's not just a megaphone, Dad. It's a RapMaster 2000.",625000,true,8,82.0,Bart Simpson,Herman's Military Antiques,"It's not just a megaphone, Dad. It's a RapMaster 2000.",its not just a megaphone dad its a rapmaster 2000,10,92,5,
27224,92,126,Homer Simpson: Never mind the commercials. Just give it to me. I've got to whip this neighborhood into shape.,629000,true,2,82.0,Homer Simpson,Herman's Military Antiques,Never mind the commercials. Just give it to me. I've got to whip this neighborhood into shape.,never mind the commercials just give it to me ive got to whip this neighborhood into shape,17,92,5,
27225,92,127,Homer Simpson: (THROUGH MEGAPHONE) Move along there.,636000,true,2,82.0,Homer Simpson,Herman's Military Antiques,Move along there.,move along there,3,92,5,
